rho_l,rho_s,k_l,k_s,cp_l,cp_s,Surr_temp,L_fusion,temp_init,heat_transfer_coefficient_left,heat_transfer_coefficient_right,Lowest_Niyama
2842.8,3090.0,98.88,113.3,954.8100000000001,996.01,626.0,389000.0,1408.0,13.0,13.0,0.6804577528587965
2760.0,3000.0,96.0,110.0,927.0,967.0,313.0,400670.0,1408.0,13.0,13.0,0.8005137818325686
2842.8,3000.0,96.0,110.0,927.0,967.0,313.0,400670.0,880.0,10.0,11.0,0.0013996872916455922
2760.0,3090.0,96.0,110.0,927.0,967.0,313.0,400670.0,880.0,10.0,11.0,0.0010584610109551265
2842.8,3090.0,96.0,110.0,927.0,967.0,313.0,400670.0,1408.0,13.0,13.0,0.8204771686662766
2760.0,3000.0,98.88,110.0,927.0,967.0,313.0,400670.0,880.0,10.0,13.0,0.0019498931304261057
2842.8,3000.0,98.88,110.0,927.0,967.0,313.0,400670.0,1408.0,13.0,11.0,0.4947124360857497
2760.0,3090.0,98.88,110.0,927.0,967.0,313.0,400670.0,1408.0,13.0,11.0,0.2990800097451089
2842.8,3090.0,98.88,110.0,927.0,967.0,313.0,400670.0,880.0,10.0,13.0,0.0019985199836635996
2760.0,3000.0,96.0,113.3,927.0,967.0,313.0,400670.0,880.0,13.0,11.0,0.38261679675220217
2842.8,3000.0,96.0,113.3,927.0,967.0,313.0,400670.0,1408.0,10.0,13.0,0.0014019680357599234
2760.0,3090.0,96.0,113.3,927.0,967.0,313.0,400670.0,1408.0,10.0,13.0,0.000622157868277258
2842.8,3090.0,96.0,113.3,927.0,967.0,313.0,400670.0,880.0,13.0,11.0,0.392158577663397
2760.0,3000.0,98.88,113.3,927.0,967.0,313.0,400670.0,1408.0,10.0,11.0,0.0008953569058759281
2842.8,3000.0,98.88,113.3,927.0,967.0,313.0,400670.0,880.0,13.0,13.0,0.9794749622986398
2760.0,3090.0,98.88,113.3,927.0,967.0,313.0,400670.0,880.0,13.0,13.0,0.6957136716073267
2842.8,3090.0,98.88,113.3,927.0,967.0,313.0,400670.0,1408.0,10.0,11.0,0.0009176855111690365
2760.0,3000.0,96.0,110.0,954.8100000000001,967.0,313.0,400670.0,1408.0,10.0,11.0,0.0005285838131193577
2842.8,3000.0,96.0,110.0,954.8100000000001,967.0,313.0,400670.0,880.0,13.0,13.0,1.0037748670204283
2760.0,3090.0,96.0,110.0,954.8100000000001,967.0,313.0,400670.0,880.0,13.0,13.0,0.6996709442342715
2842.8,3090.0,96.0,110.0,954.8100000000001,967.0,313.0,400670.0,1408.0,10.0,11.0,0.000541765751238126
2760.0,3000.0,98.88,110.0,954.8100000000001,967.0,313.0,400670.0,880.0,13.0,11.0,0.32883000689639186
2842.8,3000.0,98.88,110.0,954.8100000000001,967.0,313.0,400670.0,1408.0,10.0,13.0,0.0037520048533457276
2760.0,3090.0,98.88,110.0,954.8100000000001,967.0,313.0,400670.0,1408.0,10.0,13.0,0.003284244611754194
2842.8,3090.0,98.88,110.0,954.8100000000001,967.0,313.0,400670.0,880.0,13.0,11.0,0.33703044114147834
2760.0,3000.0,96.0,113.3,954.8100000000001,967.0,313.0,400670.0,880.0,10.0,13.0,0.00010769579159174101
2842.8,3000.0,96.0,113.3,954.8100000000001,967.0,313.0,400670.0,1408.0,13.0,11.0,0.35014445768766467
2760.0,3090.0,96.0,113.3,954.8100000000001,967.0,313.0,400670.0,1408.0,13.0,11.0,0.335909242685386
2842.8,3090.0,96.0,113.3,954.8100000000001,967.0,313.0,400670.0,880.0,10.0,13.0,0.00011038153267040991
2760.0,3000.0,98.88,113.3,954.8100000000001,967.0,313.0,400670.0,1408.0,13.0,13.0,0.7808641403648953
2842.8,3000.0,98.88,113.3,954.8100000000001,967.0,313.0,400670.0,880.0,10.0,11.0,0.0008503441744123123
2760.0,3090.0,98.88,113.3,954.8100000000001,967.0,313.0,400670.0,880.0,10.0,11.0,6.406942030826073e-05
2842.8,3090.0,98.88,113.3,954.8100000000001,967.0,313.0,400670.0,1408.0,13.0,13.0,0.8003375001651339
2760.0,3000.0,96.0,110.0,927.0,996.01,313.0,400670.0,1408.0,13.0,13.0,0.8365328708245795
2842.8,3000.0,96.0,110.0,927.0,996.01,313.0,400670.0,880.0,10.0,11.0,0.0012935663130771197
2760.0,3090.0,96.0,110.0,927.0,996.01,313.0,400670.0,880.0,10.0,11.0,0.0004152361193009793
2842.8,3090.0,96.0,110.0,927.0,996.01,313.0,400670.0,1408.0,13.0,13.0,0.8573945095350997
2760.0,3000.0,98.88,110.0,927.0,996.01,313.0,400670.0,880.0,10.0,13.0,0.0005852255008042752
2842.8,3000.0,98.88,110.0,927.0,996.01,313.0,400670.0,1408.0,13.0,11.0,0.44834202419966895
2760.0,3090.0,98.88,110.0,927.0,996.01,313.0,400670.0,1408.0,13.0,11.0,0.4035739583832466
2842.8,3090.0,98.88,110.0,927.0,996.01,313.0,400670.0,880.0,10.0,13.0,0.0005998199816522636
2760.0,3000.0,96.0,113.3,927.0,996.01,313.0,400670.0,880.0,13.0,11.0,0.31511709932561
2842.8,3000.0,96.0,113.3,927.0,996.01,313.0,400670.0,1408.0,10.0,13.0,0.0024577420260869075
2760.0,3090.0,96.0,113.3,927.0,996.01,313.0,400670.0,1408.0,10.0,13.0,0.0007662122708884732
2842.8,3090.0,96.0,113.3,927.0,996.01,313.0,400670.0,880.0,13.0,11.0,0.32297555809861445
2760.0,3000.0,98.88,113.3,927.0,996.01,313.0,400670.0,1408.0,10.0,11.0,0.0015427195976558225
2842.8,3000.0,98.88,113.3,927.0,996.01,313.0,400670.0,880.0,13.0,13.0,1.0071177976052572
2760.0,3090.0,98.88,113.3,927.0,996.01,313.0,400670.0,880.0,13.0,13.0,0.7366028257946639
2842.8,3090.0,98.88,113.3,927.0,996.01,313.0,400670.0,1408.0,10.0,11.0,0.0015811922745826855
2760.0,3000.0,96.0,110.0,954.8100000000001,996.01,313.0,400670.0,1408.0,10.0,11.0,1.603612710163394e-05
2842.8,3000.0,96.0,110.0,954.8100000000001,996.01,313.0,400670.0,880.0,13.0,13.0,1.0322067497026928
2760.0,3090.0,96.0,110.0,954.8100000000001,996.01,313.0,400670.0,880.0,13.0,13.0,0.7311488512456306
2842.8,3090.0,96.0,110.0,954.8100000000001,996.01,313.0,400670.0,1408.0,10.0,11.0,1.6436039527765514e-05
2760.0,3000.0,98.88,110.0,954.8100000000001,996.01,313.0,400670.0,880.0,13.0,11.0,0.45083803227737773
2842.8,3000.0,98.88,110.0,954.8100000000001,996.01,313.0,400670.0,1408.0,10.0,13.0,0.0004025188971472311
2760.0,3090.0,98.88,110.0,954.8100000000001,996.01,313.0,400670.0,1408.0,10.0,13.0,0.0001548544451414533
2842.8,3090.0,98.88,110.0,954.8100000000001,996.01,313.0,400670.0,880.0,13.0,11.0,0.46208112920082756
2760.0,3000.0,96.0,113.3,954.8100000000001,996.01,313.0,400670.0,880.0,10.0,13.0,0.001593506738969521
2842.8,3000.0,96.0,113.3,954.8100000000001,996.01,313.0,400670.0,1408.0,13.0,11.0,0.4986703088796911
2760.0,3090.0,96.0,113.3,954.8100000000001,996.01,313.0,400670.0,1408.0,13.0,11.0,0.27728939642887196
2842.8,3090.0,96.0,113.3,954.8100000000001,996.01,313.0,400670.0,880.0,10.0,13.0,0.0016332459624348978
2760.0,3000.0,98.88,113.3,954.8100000000001,996.01,313.0,400670.0,1408.0,13.0,13.0,0.8030934622477015
2842.8,3000.0,98.88,113.3,954.8100000000001,996.01,313.0,400670.0,880.0,10.0,11.0,0.0016709141415604217
2760.0,3090.0,98.88,113.3,954.8100000000001,996.01,313.0,400670.0,880.0,10.0,11.0,0.0007208352928831476
2842.8,3090.0,98.88,113.3,954.8100000000001,996.01,313.0,400670.0,1408.0,13.0,13.0,0.8231211817127813
2760.0,3000.0,96.0,110.0,927.0,967.0,626.0,400670.0,1408.0,13.0,13.0,0.6603928241719849
2842.8,3000.0,96.0,110.0,927.0,967.0,626.0,400670.0,880.0,10.0,11.0,0.0007689918613225544
2760.0,3090.0,96.0,110.0,927.0,967.0,626.0,400670.0,880.0,10.0,11.0,0.00010784365422258491
2842.8,3090.0,96.0,110.0,927.0,967.0,626.0,400670.0,1408.0,13.0,13.0,0.6768618440818852
2760.0,3000.0,98.88,110.0,927.0,967.0,626.0,400670.0,880.0,10.0,13.0,0.0006019256202544252
2842.8,3000.0,98.88,110.0,927.0,967.0,626.0,400670.0,1408.0,13.0,11.0,0.0028834353591162803
2760.0,3090.0,98.88,110.0,927.0,967.0,626.0,400670.0,1408.0,13.0,11.0,0.001679664092618788
2842.8,3090.0,98.88,110.0,927.0,967.0,626.0,400670.0,880.0,10.0,13.0,0.0006169365524390233
2760.0,3000.0,96.0,113.3,927.0,967.0,626.0,400670.0,880.0,13.0,11.0,0.0007211924876592561
2842.8,3000.0,96.0,113.3,927.0,967.0,626.0,400670.0,1408.0,10.0,13.0,0.00216712434369554
2760.0,3090.0,96.0,113.3,927.0,967.0,626.0,400670.0,1408.0,10.0,13.0,0.0004321672829100969
2842.8,3090.0,96.0,113.3,927.0,967.0,626.0,400670.0,880.0,13.0,11.0,0.0007391777428034545
2760.0,3000.0,98.88,113.3,927.0,967.0,626.0,400670.0,1408.0,10.0,11.0,0.0009230749286540141
2842.8,3000.0,98.88,113.3,927.0,967.0,626.0,400670.0,880.0,13.0,13.0,0.8079371584920925
2760.0,3090.0,98.88,113.3,927.0,967.0,626.0,400670.0,880.0,13.0,13.0,0.574026656010926
2842.8,3090.0,98.88,113.3,927.0,967.0,626.0,400670.0,1408.0,10.0,11.0,0.0009460947720288925
2760.0,3000.0,96.0,110.0,954.8100000000001,967.0,626.0,400670.0,1408.0,10.0,11.0,0.00022177823748983208
2842.8,3000.0,96.0,110.0,954.8100000000001,967.0,626.0,400670.0,880.0,13.0,13.0,0.8281888603383522
2760.0,3090.0,96.0,110.0,954.8100000000001,967.0,626.0,400670.0,880.0,13.0,13.0,0.5771993669797905
2842.8,3090.0,96.0,110.0,954.8100000000001,967.0,626.0,400670.0,1408.0,10.0,11.0,0.00022730899142160322
2760.0,3000.0,98.88,110.0,954.8100000000001,967.0,626.0,400670.0,880.0,13.0,11.0,0.0014082466218085727
2842.8,3000.0,98.88,110.0,954.8100000000001,967.0,626.0,400670.0,1408.0,10.0,13.0,0.0013964795840814958
2760.0,3090.0,98.88,110.0,954.8100000000001,967.0,626.0,400670.0,1408.0,10.0,13.0,0.0002562492948503506
2842.8,3090.0,98.88,110.0,954.8100000000001,967.0,626.0,400670.0,880.0,13.0,11.0,0.0014433657824107406
2760.0,3000.0,96.0,113.3,954.8100000000001,967.0,626.0,400670.0,880.0,10.0,13.0,0.0006790374847478692
2842.8,3000.0,96.0,113.3,954.8100000000001,967.0,626.0,400670.0,1408.0,13.0,11.0,0.00028572000734703666
2760.0,3090.0,96.0,113.3,954.8100000000001,967.0,626.0,400670.0,1408.0,13.0,11.0,0.001413496010205914
2842.8,3090.0,96.0,113.3,954.8100000000001,967.0,626.0,400670.0,880.0,10.0,13.0,0.0006959714692591378
2760.0,3000.0,98.88,113.3,954.8100000000001,967.0,626.0,400670.0,1408.0,13.0,13.0,0.6442787529651355
2842.8,3000.0,98.88,113.3,954.8100000000001,967.0,626.0,400670.0,880.0,10.0,11.0,0.0011840256617564272
2760.0,3090.0,98.88,113.3,954.8100000000001,967.0,626.0,400670.0,880.0,10.0,11.0,0.0011023631810608545
2842.8,3090.0,98.88,113.3,954.8100000000001,967.0,626.0,400670.0,1408.0,13.0,13.0,0.6603459166618526
2760.0,3000.0,96.0,110.0,927.0,996.01,626.0,400670.0,1408.0,13.0,13.0,0.6901956749594115
2842.8,3000.0,96.0,110.0,927.0,996.01,626.0,400670.0,880.0,10.0,11.0,0.0012570881625057788
2760.0,3090.0,96.0,110.0,927.0,996.01,626.0,400670.0,880.0,10.0,11.0,0.0007660893683559087
2842.8,3090.0,96.0,110.0,927.0,996.01,626.0,400670.0,1408.0,13.0,13.0,0.7074079248455086
2760.0,3000.0,98.88,110.0,927.0,996.01,626.0,400670.0,880.0,10.0,13.0,0.00033319414110128564
2842.8,3000.0,98.88,110.0,927.0,996.01,626.0,400670.0,1408.0,13.0,11.0,0.0003894167241877467
2760.0,3090.0,98.88,110.0,927.0,996.01,626.0,400670.0,1408.0,13.0,11.0,0.0012622125656998903
2842.8,3090.0,98.88,110.0,927.0,996.01,626.0,400670.0,880.0,10.0,13.0,0.00034150340907454
2760.0,3000.0,96.0,113.3,927.0,996.01,626.0,400670.0,880.0,13.0,11.0,0.00014825674915064715
2842.8,3000.0,96.0,113.3,927.0,996.01,626.0,400670.0,1408.0,10.0,13.0,0.001623662341205765
2760.0,3090.0,96.0,113.3,927.0,996.01,626.0,400670.0,1408.0,10.0,13.0,0.0022525085592040943
2842.8,3090.0,96.0,113.3,927.0,996.01,626.0,400670.0,880.0,13.0,11.0,0.0001519540082124798
2760.0,3000.0,98.88,113.3,927.0,996.01,626.0,400670.0,1408.0,10.0,11.0,0.0007605144686743864
2842.8,3000.0,98.88,113.3,927.0,996.01,626.0,400670.0,880.0,13.0,13.0,0.8287264134111358
2760.0,3090.0,98.88,113.3,927.0,996.01,626.0,400670.0,880.0,13.0,13.0,0.603481828987052
2842.8,3090.0,98.88,113.3,927.0,996.01,626.0,400670.0,1408.0,10.0,11.0,0.00077948036307488
2760.0,3000.0,96.0,110.0,954.8100000000001,996.01,626.0,400670.0,1408.0,10.0,11.0,9.758082299364957e-06
2842.8,3000.0,96.0,110.0,954.8100000000001,996.01,626.0,400670.0,880.0,13.0,13.0,0.8513898220052146
2760.0,3090.0,96.0,110.0,954.8100000000001,996.01,626.0,400670.0,880.0,13.0,13.0,0.6032706582037356
2842.8,3090.0,96.0,110.0,954.8100000000001,996.01,626.0,400670.0,1408.0,10.0,11.0,1.0001431478502668e-05
2760.0,3000.0,98.88,110.0,954.8100000000001,996.01,626.0,400670.0,880.0,13.0,11.0,7.775205803912102e-05
2842.8,3000.0,98.88,110.0,954.8100000000001,996.01,626.0,400670.0,1408.0,10.0,13.0,0.001578269858764606
2760.0,3090.0,98.88,110.0,954.8100000000001,996.01,626.0,400670.0,1408.0,10.0,13.0,0.0001454601096924413
2842.8,3090.0,98.88,110.0,954.8100000000001,996.01,626.0,400670.0,880.0,13.0,11.0,7.969105577654727e-05
2760.0,3000.0,96.0,113.3,954.8100000000001,996.01,626.0,400670.0,880.0,10.0,13.0,0.0013416081398585948
2842.8,3000.0,96.0,113.3,954.8100000000001,996.01,626.0,400670.0,1408.0,13.0,11.0,0.0014436965793268744
2760.0,3090.0,96.0,113.3,954.8100000000001,996.01,626.0,400670.0,1408.0,13.0,11.0,0.001226291339597149
2842.8,3090.0,96.0,113.3,954.8100000000001,996.01,626.0,400670.0,880.0,10.0,13.0,0.0013750654555014753
2760.0,3000.0,98.88,113.3,954.8100000000001,996.01,626.0,400670.0,1408.0,13.0,13.0,0.662606064396907
2842.8,3000.0,98.88,113.3,954.8100000000001,996.01,626.0,400670.0,880.0,10.0,11.0,0.00026105366994323383
2760.0,3090.0,98.88,113.3,954.8100000000001,996.01,626.0,400670.0,880.0,10.0,11.0,0.00028120482713650486
2842.8,3090.0,98.88,113.3,954.8100000000001,996.01,626.0,400670.0,1408.0,13.0,13.0,0.6791302785730009
2801.4,3045.0,97.44,111.65,940.905,981.505,469.5,394835.0,1144.0,11.5,12.0,0.3118007812155604
